name,domain,year founded,industry,size range,locality,country
wells fargo home mortgage,,,banking,10001+,"des moines, iowa, united states",united states
symantec,symantec.com,1982.0,computer software,10001+,"mountain view, california, united states",united states
unicef,unicef.org,1946.0,non-profit organization management,10001+,"new york, new york, united states",united states
uc berkeley,berkeley.edu,1868.0,higher education,10001+,"berkeley, california, united states",united states
"starwood hotels & resorts worldwide, inc.",starwoodhotels.com,1980.0,hospitality,10001+,"stamford, connecticut, united states",united states
quest diagnostics,questdiagnostics.com,1967.0,hospital & health care,10001+,"madison, new jersey, united states",united states
sam's club,samsclub.com,,retail,10001+,"bentonville, arkansas, united states",united states
rutgers university,rutgers.edu,,higher education,10001+,"new brunswick, new jersey, united states",united states
ge capital,gecapital.com,,financial services,10001+,"norwalk, connecticut, united states",united states
westpac,westpac.com.au,1817.0,banking,10001+,"new york, new york, united states",united states
northern trust corporation,northerntrust.com,1889.0,financial services,10001+,"chicago, illinois, united states",united states
university of wisconsin-madison,wisc.edu,,higher education,10001+,"madison, wisconsin, united states",united states
general mills,generalmills.com,1928.0,consumer goods,10001+,"minneapolis, minnesota, united states",united states
aim,,1962.0,retail,10001+,"bentonville, arkansas, united states",united states
unisys,unisys.com,,information technology and services,10001+,"blue bell, pennsylvania, united states",united states
burger king corporation,bk.com,1954.0,restaurants,10001+,"miami, florida, united states",united states
tetra pak,tetrapak.com,,packaging and containers,10001+,"hull, iowa, united states",united states
banner health,bannerhealth.com,1999.0,hospital & health care,10001+,"phoenix, arizona, united states",united states
